category,code,name,price,quantity
BOSCH BRAKE FUILD,0986AB70008F8,BF300 BRAKE FLUID 100 ML DOT-3,0.00,2180.00
BOSCH BRAKE FUILD,0986AB70018F8,BF301 Brake Fluid 1Ltr DOT3,0.00,36.00
BOSCH BRAKE FUILD,0986AB70028F8,BF305 Brake Fluid 5ltrs  DOT 3,0.00,0.00
BOSCH BRAKE FUILD,0986AB70048F8,BF312 Brake Fluid 500 ml DOT 3,0.00,255.00
BOSCH BRAKE FUILD,0986AB70058F8,BF 314 BRAKE FLUID 250 ML DOT-3,0.00,5570.00
BOSCH BRAKE FUILD,0986AB70068F8,BF320 Brake Fluid 20ltrs  DOT 3,0.00,0.00
BOSCH BRAKE FUILD,0986AB70088F8,BF412 Brake Fluid Dot 4 500ml,0.00,0.00
BOSCH BRAKE FUILD,0986AB70098F8,BF414 Brake Fluid Dot 4 250ml,0.00,0.00
BOSCH BRAKE FUILD,F002H600208F8,BF414 Brake Fluid Dot 4 250ml,0.00,875.00
BOSCH BRAKE FUILD,F002H600218F8,BF412 Brake Fluid Dot 4 500ml,0.00,154.00
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
