category,code,name,price,quantity
KNOR,KB0310N,PRESSURE LIMITING VALVE MN,1180.00,2.00
KNOR,KB0414,AIR DRYER CARTRIDGE,2291.00,72.00
KNOR,KB043917,MANUAL SLACK ADJUSTER FOR TATA HCV FR.,1090.00,11.00
KNOR,KB043918,MANUAL SLACK ADJUSTER FOR TATA LCV FR.,1090.00,1.00
KNOR,KB043993,MANUAL SLACK ADJUSTER FOR TATA HCV RR LH,1090.00,2.00
KNOR,KB043994,MANUAL SLACK ADJUSTER FOR TATA HCV RR RH,1090.00,3.00
KNOR,KB043995,MANUAL SLACK ADJUSTER FOR TATA LCV LH,1090.00,3.00
KNOR,KB043996,MANUAL SLACK ADJUSTER FOR TATA LCV RH,1090.00,3.00
KNOR,KB0454,AIR DRYER CARTRIDGE OSC,3500.00,7.00
KNOR,KB050034,MANUAL SLACK ADJUSTER FOR LEYLAND FR/RR,1090.00,2.00
KNOR,KB0850,CLAMP RING KIT TY 20 FIR BC/SBA,354.00,5.00
KNOR,KB0860,CLAMP RING KIT FOR TY 24 FOR BC/SBA,317.00,10.00
KNOR,KB0916,SPARE KIT FOR ASA,493.00,5.00
KNOR,KB1050,KIT FOR SBA REL BOLT,186.00,29.00
KNOR,KB1120,KIT FOR UNLOADER VALVE AD,578.00,20.00
KNOR,KB1130,KIT FOR AIR DRYER,248.00,31.00
KNOR,KB1184,DIAPHRAGM TY20,260.00,46.00
KNOR,KB1819,COMPRESSOR 225CC TML,9000.00,3.00
KNOR,KB1856,KIT FOR ALSV JAMMING,550.00,3.00
KNOR,KB1857,SPARE KIT FOR ALSV,1080.00,6.00
KNOR,KB2088,FOOT BRAKE VALVE WITHOUT PEDAL,3950.00,1.00
KNOR,KB2090,FOOT BRAKE VALVE W/OUT PEDAL TML,3950.00,4.00
KNOR,KB3332,SOLENOID COIL ASSY,971.00,20.00
KNOR,KB3701,TOP COVER FOR BC TY 20,982.00,2.00
KNOR,KB4322,DIAGHRAGM TY24,270.00,146.00
KNOR,KB4464,PRESSURE SWITCH (TML 3118),1680.00,2.00
KNOR,KB4700,FOOT BRAKE VALVE WITH SWITCHES ASHOK LEYLAND,4939.00,4.00
KNOR,KB4800,HAND BRAKE VALVE -V WITH LP SWITCH,1800.00,2.00
KNOR,KB5000,QUICK RELAY VALVE,1460.00,1.00
KNOR,KB60102,PRESSURE LIMITING VALVE,1380.00,2.00
KNOR,KB60113,PRESSURE LIMITIMNG VALVE,1414.00,7.00
KNOR,KB6569,BIG PISTON FOR SBA TY  24,1145.00,1.00
KNOR,KB7042,TOP COVER FOR BC TY 24,982.00,4.00
KNOR,KB7049,DIAPHRAGM TY30,470.00,164.00
KNOR,KB7052,TOP COVER FOR SBA TY 24/24,982.00,6.00
KNOR,KB7057,SPRING FOR BC TY 30,236.00,14.00
KNOR,KB7157,AIR DRYER LA85 SPARE KIT,298.00,4.00
KNOR,KB7212,INTERMEDIATE FLANGE SBA TY 2424 V-V,1417.00,2.00
KNOR,KB7231,INTERMEDIATE FLANGE SBA TY 20/24 M-M,1407.00,2.00
KNOR,KB7232,INTERMEDIATE FLANGE SBA TY 20/24 V-M,1416.00,2.00
KNOR,KB7513,SPARE KIT FOR QRV,0.00,37.00
KNOR,KB7758,SPRING FOR BC TY 24 AL SBA SERV,95.00,1.00
KNOR,KB7803,SPARE KIT ALSV RUBBER LINK,135.00,4.00
KNOR,KB8589,SPARE KIT (MAJOR) FOR SBA TY 30,1280.00,5.00
KNOR,KB8590,SPARE KIT (MINOR) FOR SBATY 30,295.00,5.00
KNOR,KB9718,REFERENCE ARM ASSY FOR ASA,0.00,5.00
KNOR,KB9971,5/2 VALVE SUB ASSY GEN II,3500.00,3.00
KNOR,KB0010NSL,STOP LIGHT SWITCH,268.00,2.00
KNOR,KB0056,MAJOR KIT FOR SBA TY 24/24 & TY 20/24 PS,1444.00,2.00
KNOR,KB0057,MINOR KIT FOR SBA  24/24 & 20/24 PS,383.00,185.00
KNOR,KB0058,MAJOR KIT FOR FOOT BR VALVE,2159.00,6.00
KNOR,KB0059,MINOR KIT FOR FOOT BR VALVE,406.00,48.00
KNOR,KB0060,MAJOR KIT FOR HAND BR VALVE,254.00,14.00
KNOR,KB0061,MINOR KIT FOR HAND BR VALVE,169.00,85.00
KNOR,KB0062,MAJOR KIT FOR FOUR CIRCUIT PRO.,1127.00,-2.00
KNOR,KB0063,MINOR KIT FOR FOUR CIRCUIT PRO.,158.00,68.00
KNOR,KB0064,MAJOR KIT FOR RELAY VALVE,410.00,65.00
KNOR,KB0065,MAJOR KIT FOR AIR DRYER,733.00,70.00
KNOR,KB0088,SPARE KIT FOR PLV,450.00,30.00
KNOR,KB0091,TOP COVER FOR SBA TY 20/24,982.00,2.00
KNOR,KB0100,REAR BODY SBA TY 24,882.00,9.00
KNOR,KB0101,Br. Chamber TY 24M with Conn.,1622.00,4.00
KNOR,KB0102,Br. Chamber TY 20M RH,1603.00,4.00
KNOR,KB0103,Br. Chamber TY 20M LH,1603.00,1.00
KNOR,KB010NLP,LOW PRESSURE SWITCH,255.00,4.00
KNOR,KB010NSL,STOP LIGHT SWITCH,255.00,2.00
KNOR,KB0110,RELAY VALVE V/M,2085.00,5.00
KNOR,KB0110SBA,SPRING BRAKE ACTUATOR V/M,5737.00,3.00
KNOR,KB0113,RELAY VALVE  V/M,2097.00,4.00
KNOR,KB0118,AIR DRYER OSC,8250.00,7.00
KNOR,KB0118PC,PALM COUPLING SUPPLY TRACTOR SIDE,470.00,11.00
KNOR,KB0124,SPRING BRAKE ACTUATOR TY RH,5637.00,10.00
KNOR,KB0128PC,PALM COUPLING TML,470.00,12.00
KNOR,KB0129PC,PALM COUPLING CONTROL TML,470.00,1.00
KNOR,KB0136,SPRING BR ACTUATOR TY 24/24 V STR,5737.00,21.00
KNOR,KB0150,RELAY VALVE V,1927.00,1.00
KNOR,KB0151,HAND BR VALVE VER 1,1422.00,24.00
KNOR,KB0152,HAND BRAKE VALVE,1422.00,7.00
KNOR,KB0153,AUTO SLACK ADJUSTER  RH,3110.00,2.00
KNOR,KB0154,HAND BRAKE VALVE V,1422.00,22.00
KNOR,KB0155,FOUR CIRCUIT PROTECTION VALVE,2633.00,26.00
KNOR,KB0156,AUTO SLACK ADJUSTER  LH,3110.00,1.00
KNOR,KB0159,AUTO SLACK ADJUSTER  -STR,3110.00,4.00
KNOR,KB0163,FOOT BRAKE VALVE WITH PEDAL,4885.00,6.00
KNOR,KB0169,AIR DRYER ASSY,6921.00,14.00
KNOR,KB0182,QUICK RELAY VALVE V/M,1004.00,1.00
KNOR,KB0201,LACV ASSY GEN II TML 31T,14210.00,2.00
KNOR,KB0247,LOAD SENSING VALVE W VOSS CONN TML,5147.00,4.00
KNOR,KB0260,QUICK RELAY VALVE,1460.00,2.00
KNOR,KB0300,LOAD SENSING VALVE WITH VOSS CONN AL,0.00,1.00
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
