category,code,name,price,quantity
SETCO,L0145R,380 DIA SPRING KIT,3120.00,15.00
SETCO,L0696R,C.R. BEARING,1875.00,75.00
SETCO,L1212R,380 DIA COLLECTOR RING KIT,855.00,96.00
SETCO,L12200R,310 DIA MINOR KIT,1000.00,11.00
SETCO,L12202R,310 DIA SPRING KIT,1160.00,5.00
SETCO,L1690R,"CL REL BEARING GB50 1.5""",0.00,0.00
SETCO,L1716R,"352 DIA Cover Assy 1.5"" Pull Type",11600.00,2.00
SETCO,L1717008R,"352 DIA Disc Assy + Cover Assy 1.75""",17145.00,7.00
SETCO,L1717R,"352 DIA Cover Assy 1.75"" Pull Type",11865.00,289.00
SETCO,L1731R,"352 DIA Disc Assy 1.75"" Ceramic",5160.00,-3.00
SETCO,L1732R,"352 DIA Disc Assy 1.5"" Ceramic",5325.00,13.00
SETCO,L1881R,330 DIA Collector Ring,310.00,9.00
SETCO,L1896R,330 DIA COVER ASSY CAST IRON,2520.00,3.00
SETCO,L1897R,330 DIA PRESSURE PLATE KIT,2760.00,26.00
SETCO,L1898R,330 DIA SPRING KIT,1285.00,20.00
SETCO,L1900R,352 DIA Pressure Plate Kit,3450.00,38.00
SETCO,L1901R,352 DIA Eye Bolt & Needle Roller Kit,1400.00,66.00
SETCO,L1904R,352 DIA Rel Lever Service Kit,1955.00,46.00
SETCO,L1905R,352 DIA SPRING KIT,1435.00,55.00
SETCO,L1909R,352 DIA DISC FACING KIT CERAMIC,3225.00,2.00
SETCO,L2084AR,400 DIA TWIN SET (2 NOS DISC+1PLT+1CVR MERCEDES,66065.00,1.00
SETCO,L2316R,330 DIA Release Lever Service Kit,1765.00,29.00
SETCO,L2327R,"352 DIA Disc Assy 14"" A.L. Ceramic",5860.00,72.00
SETCO,L2328R,"380 DIA 15"" Disc Assy 1.5"" Ceramic A.L.",5950.00,41.00
SETCO,L2358R,430 DIA Cover Assy Volvo Bus 9R,23021.00,3.00
SETCO,L2414,430 Dia Clutch Bearing,0.00,-1.00
SETCO,L2542R,"352 DIA COVER ASSY PULL TYPE 1.75"" EML",12019.00,3.00
SETCO,L2543R,"352 DIA DISC ASSY 1.75"" CERAMIC EML",5160.00,7.00
SETCO,L2558R,"380 DIA 15"" Disc Assy 1.75"" Ceramic A.L.",6960.00,7.00
SETCO,L2693R,430 DIA CLUTCH REL BRG ASSY 9R,5395.00,0.00
SETCO,L2770R,"380 DIA Cover Assy 1.75""",13095.00,169.00
SETCO,L2771R,"380 DIA Disc Assy 1.75"" Organic",7395.00,3.00
SETCO,L2856AR,400 DIA Twin Disc Set (disc2nos+1plt+1cover) VOLVO,65853.00,3.00
SETCO,L3000R,352 DIA RF CLUTCH DISC ASSY ORGANIC,3200.00,9.00
SETCO,L3020R,352 DIA PUSH TYPE COLLECTOR RING,830.00,0.00
SETCO,L3023,CB-L 3023 RELEASE BEARING,5395.00,0.00
SETCO,L3505R,400 MM DISC {INNER 18 SPLINE} FW SIDE,14000.00,0.00
SETCO,L3506R,"400 MM DISC OUTER{PRESSURE PLATE SIDE}
",12000.00,0.00
SETCO,L3573,430 Dia Clutch Disc,0.00,-1.00
SETCO,L3592,430 Dia Clutch Pressure Plate Assy,0.00,0.00
SETCO,L3595R,430 DIA CLUTCH PRE.PLATE ASSY,23021.00,5.00
SETCO,L3677R,400 mm disc {inner 24 spline}fw side,14500.00,0.00
SETCO,L3712R,280 DIA COVER ASSY,3574.00,9.00
SETCO,L3734R,280 DIA DISC ASSY,2578.00,5.00
SETCO,L4001124R,330 DIA DISC & COVER ASSY COMBO,10955.00,1.00
SETCO,L4001R,330 DIA Cover Assy Ceramic,6300.00,17.00
SETCO,L4002R,330 DIA SIC ASSY CERAMIC EML,4560.00,4.00
SETCO,L4003R,330 DIA COVER ASSY CI EML,6094.00,4.00
SETCO,L4064R,430 DIA REL BRNG,3295.00,0.00
SETCO,L4109R,380 DIA REL BRG AUTO ADJUSTABLE,1855.00,10.00
SETCO,L4160R,"430 DIA Cover Assy 1.75"" TML",15060.00,1.00
SETCO,L4172R,380 DIA Pressure Plate Kit,6285.00,11.00
SETCO,L4173R,380 DIA RELEASE LEVER SERVICE KIT,1865.00,34.00
SETCO,L4187R,"380 DIA Disc Assy 1.75"" AMW",7395.00,12.00
SETCO,L4188R,"380 DIA Cover Assy 1.75"" AMW",13095.00,5.00
SETCO,L4205R,430 DIA Disc Assy TML,11310.00,0.00
SETCO,L4208R,"380 DIA DISC ASSY 1.5"" SPLINE ORGANIC",7300.00,18.00
SETCO,L42321R,430 DIA Disc Assy Volvo Bus (9R),15246.00,3.00
SETCO,L4256R,430 DIA Clutch Release Brng TML,2750.00,3.00
SETCO,L4264R,330 DIA Disc Assy Organic,4200.00,5.00
SETCO,L4284R,330 DIA Disc Assy Ceramic,4560.00,0.00
SETCO,L4319R,"380 DIA COVER ASSY 1.75"" LCL 151",0.00,4.00
SETCO,L4326R,"14"" 352 DIA COVER ASSY RDC",8400.00,7.00
