category,code,name,price,quantity
SANKAR,418.408.201M,FULL KIT 4R,0.00,0.00
SANKAR,418.408.222M,CHG 4R 1040 (1.22MM) KIRL.,0.00,22.00
SANKAR,418.608.222M,CGH 6R 1040 (1.2MM),0.00,0.00
SANKAR,419.709.111M,CHG TATA 497 MLS,0.00,25.00
SANKAR,423.320.333M,CHG M&M TRACTOR MLS,0.00,-6.00
SANKAR,450.110.222,CYLINDER GASKET MAXIMO,560.00,2.00
SANKAR,603.060.201M,FUL KIT W/VSS LEY. HINO MLS,0.00,2.00
SANKAR,603.060.202(M),HALF KIT LEYLAND 6DTI MLS,2486.00,4.00
SANKAR,603.060.222,CHG LEYLAND HINO 6DTI  EURO,0.00,0.00
SANKAR,603.060.222M,CHG LEYLAND HINO 6DTI MLS,0.00,2.00
SANKAR,603.770.201,FULL SET AL DOST,1500.00,6.00
SANKAR,603.770.222,AL DOST  CHG,1000.00,17.00
SANKAR,606.220.201,FULL KIT TATA CUMMINS 6BT,0.00,6.00
SANKAR,606.220.202,HALF SET CUMMINS 6BT,0.00,8.00
SANKAR,606.220.222,CHG TATA CUMMINS 6BT,0.00,1.00
SANKAR,606.220.303,HALF KIT TATA CUMMINS W/O VSS,0.00,0.00
SANKAR,625.697.222M,CHG TATA 697 MLS,0.00,12.00
SANKAR,901.175.112,TATA IRIS  2 NOTCH CHG,144.00,33.00
SANKAR,901.175.113,TATA IRIS 3 NOTCH CHG,144.00,39.00
SANKAR,902.275.333M,CHG TATA INDIGO MLS,0.00,72.00
SANKAR,902.475.160,VALVE COVER GASKET INDICA,0.00,0.00
SANKAR,902.475.201,FULL KIT TATA INDICA,0.00,15.00
SANKAR,902.475.222,TATA INDICA  2NOTCH,770.00,0.00
SANKAR,902.475.333,CHG INDICA 3 - NOTCH,0.00,0.00
SANKAR,902.475.444,CHG INDICA 4 - NOTCH,0.00,0.00
SANKAR,902.475.555,INDICA  5 -NOTCH,770.00,9.00
