category,code,name,price,quantity
STL,91216A2045,1/2BSF x 1.7/8 CROWN BOLT,0.00,650.00
STL,91216A2046,1/2BSF x 2.281 HHB,0.00,252.00
STL,1231641002,"1/2 UNC x 1"" HHS",0.00,300.00
STL,1231641044,1/2UNC x 1.1/4 BOLT,0.00,200.00
STL,1231641082,1/2UNC x 1.1/2 HHS,0.00,300.00
STL,97216A1569,1/2 UNF x 49.0 WB,0.00,800.00
STL,1231651082,1/2UNF x 1.1/2 HHS,0.00,200.00
STL,2233255084,1UNF X 5.1/2 HHB,0.00,5.00
STL,2221621122,1/2BSFx1.3/4 HHB,0.00,1052.00
STL,2221621082,"1/2BSFx1.1/2"" HHB",0.00,1723.00
STL,1221621042,"1/2BSF x 1.1/4""",0.00,900.00
STL,7211626073,1/2BSF NYLOCK NUT,6.20,36.00
STL,7211620022,1/2BSF HEX NUT,0.00,1100.00
STL,97216A1738,1/2UNF x 44.19 W BT,0.00,1002.00
STL,2221622122,1/2BSFx2 3/4HHB,0.00,275.00
STL,2221622002,"1/2BSF x 2"" HHB",0.00,100.00
STL,1221621002,"1/2BSFx1""",0.00,1400.00
STL,2231652002,1/2UNF X 2 HHB,0.00,300.00
STL,99216A9095,1/2 UNF W. NUT,0.00,600.00
STL,2221622082,1/2BSFx2 1/2HHB,0.00,300.00
STL,99216A0659,1/2 UNF x 40.60 HHB M/F,0.00,50.00
STL,1231241042,3/8UNC1 x 1/4 HHS,0.00,2600.00
STL,1231251002,3/8UNF x 1 HHS,0.00,-50.00
STL,7211220022,3/8 BSF HEX NUT,0.00,-200.00
STL,7211250083,3/8UNF LOCK NUT,1.98,1600.00
STL,7231240022,3/8UNC HEX NUT,0.00,2100.00
STL,7231250022,3/8UNF HEX NUT,0.00,1301.00
STL,91212A1498,"3/8UNFx1 1/4"" HHB (J)",0.00,1800.00
STL,91212A1678,3/8UNCx33.9 HHB,0.00,1900.00
STL,2221221082,3/8BSF X 1.1/2 HHB,0.00,2701.00
STL,2221221122,3/8BSFx1 3/4 HHB,0.00,1200.00
STL,91212A1499,3/8UNF x 1.1/2 HHB,0.00,1500.00
STL,2221222002,"3/8 BSFx2"" HHB",0.00,250.00
STL,1231241002,3/8UNC x 1 HHB,0.00,2100.00
STL,2231252084,"3/8UNF x 2.1/2"" HHB",0.00,500.00
STL,2231253004,3/8UNF x 3 HHB,0.00,25.00
STL,2231252002,3/8UNF x 2 HHB,0.00,100.00
STL,2231242002,3/8UNCX2HHB,0.00,201.00
STL,2231243002,3/8UNC x 3 HHB,0.00,50.00
STL,2231241122,3/8UNC x 1.3/4 HHB,0.00,1000.00
STL,1221221002,"3/8 BSF x 1"" HHS",0.00,200.00
STL,99224A2357,"3/4UNF X 2.3/4""",0.00,50.00
STL,1221221042,3/8BSF x 1 1/4 HHS,0.00,800.00
STL,2231241082,3/8UNCx1 1/2 HHB,0.00,150.00
STL,2231041042,5/16UNCx1 1/4 HHB,0.00,200.00
STL,7231040022,5/16UNC HEX NUT,0.00,2000.00
STL,7231050022,5/16UNF HEX NUT,0.00,400.00
STL,2231051042,5/16UNFx1 1/4 HHB,0.00,107.00
STL,2231042002,5/16UNC X 2  BOLT,0.00,200.00
STL,2231041082,5/16UNC1 1/2 HHB,0.00,1800.00
STL,1231051084,5/16UNF 1 1/2 HHS,0.00,50.00
STL,2232042002,5/8UNC X 2 HHB,20.92,50.00
STL,1221021002,"5/16BSF x 1"" HHS",0.00,1301.00
STL,1221020142,"5/16BSF x 7/8"" HHS",0.00,400.00
STL,1221021042,"5/16BSF x 1 1/4"" HHS",0.00,902.00
STL,1221021082,"5/16BSFx1 1/2""HHS",0.00,700.00
STL,1231040122,"5/16UNC 3/4"" HHS",0.00,600.00
STL,1231050142,5/16UNF 7/8 HHS,0.00,300.00
STL,1231050122,5/16UNF 3/4 HHS,0.00,400.00
STL,1231041002,5/16UNC X 1HHS,0.00,100.00
STL,1221020122,"5/16BSF x 3/4"" HHS",0.00,1300.00
STL,2232042082,5/8UNC X 2.1/2 HHB,22.55,50.00
STL,2221021082,5/16 BSFx1 1/2HHB,0.00,-200.00
STL,2231051122,5/16UNFx1 3/4HHB,0.00,600.00
STL,93220A2636,5/8BSF x 2.9/16 AXLE STUD,0.00,450.00
STL,1232041082,5/8UNC x 1.1/2  HHS,0.00,50.00
STL,7211420022,7/16BSF HEX NUT,0.00,1100.00
STL,2221421042,7/16BSFx1.1/4 HHB,0.00,1500.00
STL,2231441082,7/16UNC x 1.1/2 HHB,0.00,500.00
STL,95214B0734,7/16UNFx100 CLR. W.,0.00,200.00
STL,2221421082,7/16BSF x 1.1/2 HHS,0.00,1000.00
STL,1231441042,7/16UNCx1.1/4 HHB,0.00,300.00
STL,7231440022,7/16UNC HEX NUT,0.00,100.00
STL,1221421042,"7/16BSFx1 1/4""HHS",0.00,25.00
STL,97218A2334,9/16UNF 49.5 RHKB TRACTOR,0.00,100.00
STL,97218B1604,9/16UNF 65 RHKB 10.9,0.00,100.00
STL,99218A9149,"9/16"" UNF 2B CLASS 8 ZN",0.00,150.00
STL,99218A9077,"9/16""18 UNF FL NUT 20-25",0.00,250.00
STL,95112A1340,I 101 M12x1.25x30 CHB,0.00,26.00
STL,91112A1244,I 102 M12x1.25x30 HHS W/W,0.00,400.00
STL,95112B1185,I 104 M12x1.5x31 W/BOLT,0.00,250.00
STL,91112A1243,I 105 M12x1.25x35 HCS,0.00,50.00
STL,94112B1838,I 106  M12x1.25x33 FHS GP,0.00,1200.00
STL,94112A1837,I 107 M12x1.25x45 FHB,0.00,500.00
STL,95112A1183,I 108 M12x1.25x50 CB 10.9PH,17.64,100.00
STL,95112A1839,I 109 M12x1.25x60 CHB,0.00,25.00
STL,94112C1837,I 110 M12x1.25x60 FHB,0.00,200.00
STL,91112A1366,I 113 M12x17.5x55 HHB INDICA,0.00,178.00
STL,93106C1279,I 32 M6x1X45 STUD 8.8 ZN. GREEN,0.00,1.00
STL,95108D1459,I 57 M8x1.25x50 CHB TC,0.00,1.00
STL,95108A1361,I 59 M8x1.25x65 CHB,0.00,4.00
STL,93108A1734,I 61 M8x1.25x80 STUD 1.09,0.00,200.00
