nickname,add1,add2,add3,city,tel,area,tinno,mobile
A N Batteries & Oil - Ghatlodiya,"15-16 Palak Shopping Centre,","Opp Umiya Hall, Chandlodiya Road,","Ghatlodiya,",Ahmedabad  ,9879833999 9825471296  ,AHMEDABAD,NO TIN,9879833999/9825471296
A ONE AUTOMOBILES - MANGROL,"SECRATORY ROAD,","NEAR A ONE TILES,","MANGROL, JUNAGADH",Mangrol 362 225,9824966292 9978565292  ,mangrol,NO TIN,9824966292
A ONE CAR AUTO PARTS - PALEJ,"FHATMA COMPLEX,","NR, CITY POINT HOTEL,","NATIONAL HIGHWAY, PALEJ",PALEJ ,9998047922   ,PALEJ,NO TIN,9998047922
A ONE MARUTI SPARES - HIMATNAGAR ,DWARKESH COMPLEX,"MOTIPURA,",,Himatnagar   383 001 ,02772-229141  R-244141   ,HIMMATNAGAR,24050702490,9898560034
A TO Z AUTO CENTRE -  AMRELI,"SAVJIPARA ROAD,","PAHARPARA,",NEAR LUHAR WADI,Amreli   365 601,02792-220537   ,Amreli,,9924413915
A TO Z CAR CLINIC - CHANDKHEDA,"SHOP NO.1 to 4, SARJAN-2 COMPLEX,","NEAR PUNJAB NATIONAL BANK,","NEW C.G. ROAD, CHANDKHEDA",Ahmedabad  382 424,8141173131 971258484117  ,CHANDKHEDA,  24060304868,"8141173131,971258484117"
A. H. SABUWALA - NAROL,"21, SUPER MARKET, HIRABHAI GHAT,","B/H MANIAR PETROL PUMP,NR. OLD OCTROI NAKA,","CHANDOLA, NAROL ROAD,",Ahmedabad 382 405,29094534 9426756152  ,NAROL,24075000418,"9426756152,"
A. JAYANTILAL CHATRABHUJ & CO.- RAJKOT,"OPP. BOMBAY GARAGE PETROL PUMP,","GONDAL ROAD,",,Rajkot   360 002,0281-2461639 6536488  ,rajkot,,9824298952
A. N. SANGHVI & CO. -  AHMEDABAD,"3, M.J. ESTATE,","NR.NEW ASHISH RESTAURANT,","NAROL SARKHEJ HIGHWAY,",Ahmedabad  382 405 ,25393042  9824032239    ,NAROL, , 9824032239
A.V.M. AUTO - SOLA,"NEAR SOLA OVER BRIDGE,","OPP. RAMDEV MASALA,",SARKHEJ GANDHINAGAR HIGHWAY,Ahmedabad ,27664094 65426225  ,SOLA,,"9825280267,9825016865"
AAI SHRADDHA AUTOMOBILES -  SARKHEJ,"1, SHRADDHA COMPLEX,","GANDHINAGAR BAVLA HIGHWAY ROAD,","BEHIND SAGAR HOTEL, SARKHEJ ",Ahmedabad 382 210 ,26891528      ,SARKHEJ, 24074501186 ,9925127734
AAI SHREE KHODIYAR MOTORS - PALANPUR,"NEAR HOPE ENGLISH MEDIUM SCHOOL,","OPP, BALAJI PARA,","DEESA HIGHWAY, PALANPUR",Palanpur ,7698048410   ,PALANPUR,NO TIN,7698048410
AAI SHREE RAJAL AUTO PARTS - SAYLA,"2/3 , MARKET YARD,","NH - 8, ",SAYLA,Sayala ,9825732721 9913445351  ,SAYLA,NO TIN,"9825732721,9913445351"
AAKASH AUTO PARTS -  MEHSANA,"1, VEER COMPEX,","NEAR KALPANA GUEST HOUSE,"," HIGHWAY ROAD,",Mehsana   384 002 ,(02762)O-230249 R-298401    ,Mehsana, ,99250 75200 / 98242 66900 
AARIF AUTO - BHAVNAGAR,OLD BANDAR ROAD,BHAVNAGAR,,Bhavnagar ,8401801438   ,BHAVNAGAR,NO TIN,9428591547
AARIF AUTOMOBILES - CHHOTA UDEPUR,"C/O AMIN AUTOMOBILES,","VASEDI,",,Chhota Udepur   391165,   ,CHHOTA UDEPUR, ,
ABC,,,,Ahmedabad  ,   ,132 FT ROAD,,
ACTIVE AUTO PARTS   - DEESA,"NR. DR. PRAVINBHAI THAKKAR,","ABHINAV SHOPPINVE CENTRE,","OPP. RELIANCE PETROL PUMP,",Deesa 385 535,   ,DEESA,,9925075050
ACTIVE MOTORS - DEESA,"NEAR AMRITNAGAR ,",DEESA - PALANPUR HIGHWAY,,Deesa   385 535,   ,DEESA,,9427648520
ACTIVE MOTORS - RAJKOT,,"150, Ft. RING ROAD,","NANA MAHUVA,",Rajkot   ,0281-2331040   ,rajkot,NO TIN,9723457030
ACTIVE SALES - NARODA,"L/8/85, BALKRISHNA NAGAR",SAIJPUR BOGHA,NARODA ROAD,Ahmedabad  ,   ,NARODA,24072703222,926396383
ADARSH AUTO CENTRE -  HIMATNAGAR,"N.H.NO.- 8,","MOTIPURA,", ,Himatnagar    ,(02772)240978      ,HIMMATNAGAR, , 
ADARSH AUTO PARTS - UNJHA,"2, DIAMOND COMPLEX,","OPP. BHARAT PETROL PUMP,","HIGHWAY ROAD,",Unjha   384 170 ,02767-256139 R-258862    ,UNJHA, , 
ADARSH AUTOMOBILES - HIMATNAGAR,"OPP.MEHTA PETROL PUMP,","HIGHWAY,", ,Himatnagar   383 001 ,(02772)240963 ( R) 240312    ,HIMMATNAGAR, , 
ADARSH AUTOMOBILES - RAJKOT,"GREEN LAND CHOWKDI,","NEAR SHREEJI GARAGE,","KUVADAWA ROAD,",Rajkot   360 003,0281-2702842   ,rajkot,,
ADARSH OIL TRADERS - ODHAV,"25, MADHURAMPARK SOCIETY,","NEAR GEETA-GOURI CINEMA,","RAJENDRAPARK, ODHAV",Ahmedabad  382 415,9327006902 9227006902  ,ODHAV,24075108172,9327006902/9227006902
ADINATH AUTO & ELECTRIC -  RANOLI,"OPP. DHANLAXMI PETROL PUMP,","N.H. NO:-8,", ,Ranoli   391 350 ,(0265)2308595     ,RANOLI, ,98240 27480 
ADINATH AUTO AGENCY - AHMEDABAD,"BAVLA GANDHINAGAR HIGHWAY,","MAHAVIR BHAVAN,", ,Ahmedabad  382 210 ,       ,SARKHEJ, , 
ADINATH AUTO PARTS -  PATAN,"30, P.P. COMPLEX,","DEESA-CHANASMA HIGHWAY,", ,Patan   384 265 ,"P.P. 24704,2327 6 R:31831    ",PATAN, , 
ADINATH AUTO PARTS. - AHMEDABAD,BAVALA GANDINAGAR HIGHWAY,MAHAVIR BHAVAN,SARKHEJ,Ahmedabad  382 210 ,6417864      ,SARKHEJ, , 
ADINATH MOTORS -SARKHEJ,"2-3, INKA CHAMBES,","OPP. SABAR HOTEL, SANAND CHOKDI,","SARKHEJ GANDHINAGAR HIGHWAY,",Ahmedabad 382 210 , 26890481 R26856093     ,SARKHEJ, 24074500291 ,98255 77887 
ADINATH MOTORS. -  VAPI,"5, RAJHANS,","SILVASA ROAD,","CHAR RASTA,GIDC,",Vapi   396 195 ,"0260-421966,439 620    ",VAPI, , 
ADINATH SALES CORPORATION - SARKHEJ,"NILKANTH TRADERS COMPOUND,","NR. KHAIBAR HOTEL, DADA ESTATE.","SANAND CHOKDI, SARKHEJ,AHMEDABAD",Ahmedabad  ,9825871533 9409080390  ,SARKHEJ,24070700694,"9825871533,9409080390,9714671533"
ADINATH TRACTOR PARTS - BHARUCH,C/o GUATAM TRACTOR PARTS,"KASAK,","MAIN ROAD,",BHARUCH   392 001,   ,bharuch,,
ADINATH TRACTORS & AUTO STORES - BHARUCH,"5,JIVA SHOPPING CENTRE,","B/H RAILWAY STATION,","KASAK ROAD,",BHARUCH   392 001,   ,bharuch,,
ADISHWAR MOTORS - MIRZAPUR,"38, 1ST FLOOR,","K.B. COMMERCIAL CENTRE,","MIRZAUR,",Ahmedabad 380 001,25503720    ,MIRZAPUR, 24070701955,9426519743/9426766760
ADITYA SALES CORPORATION -  AHMEDABAD,"GF-7, G/F RUPESH COMPLEX,","NRAR HOTEL UJALA, THREE ROAD,", SARKHEJ,Ahmedabad  382 210 ,26899110 268911601     ,SARKHEJ, , 9825273137
AGARAWAL AUTOMOBILES - RANOLI,"B-2, NAGINBHAI CENTRE,","G.I.D.C., N.H.ROAD","RANOLI,",BARODA   391 350,   ,RANOLI,,9979447291 / 9825440337
AGRAWAL AUTO PARTS -  DAHOD,"BHOLA COMPLEX,","BY PASS CROSSING,", ,Dahod   389 151 ,(02613)O-240550 R:240169    ,DAHOD, , 
AGRAWAL AUTO PARTS - SARKHEJ,"SHOP.NO - 5, SARVOTTAM HOTEL, ","OPP, NARMADA HOTEL, SHANTIPURA CROSS ROAD,","SARKHEJ,AHMEDABAD",Ahmedabad  382 210,9974241710 9376147472  ,SARKHEJ,24074502160 ,"9376147472,9974241710"
AGRICO TRACTOR SPARES - SIDDHPUR ,"TAVADIYA CHAR RASTA,","NR. BHAGAWATI WAY-BRIDGE,","NATIONAL HIGHWAY,",Patan  ,"(02767)O-21440, R-22162    ",SIDHPUR, , 
Agricultural Sales Corporation - Una,"Vijay Chowk,","Opp. Tower,",Una,UNA  362 560,02875 222184 02875-222184  ,UNA,NO TIN,
AGRO DEAL AGENCY - KARJAN,"SHIV SHAKTI COMPLEX,",V. MARDI ROAD,,Karjan   391 240,0266-232061   ,KARJAN,24192500229,9427333718
AGRO ENGINEERING CO. -  UMRETH,"OPP. S.T. STAND,", , ,Umreth    388 220 ,76174      ,UMRETH, , 
AHIR SAVA LAKHA & CO. - JAMKHAMBHALIA,"CHAR RASTA, SALAYA ROAD,",JAM-KHAMBHALIA ,DIST - JAMNAGAR,Jam Khambhalia ,94262 22548 02833 - 234516  ,JAMKHAMBHALIA,NO TIN,"94262 22548, 97250 47177"
AHMED AUTO AGENCY - JAMNAGAR,"K V ROAD, ",NAGNATH GATE,JAMNAGAR - 36 10 01,Jamanagar 361001,7383936565   ,JAMNAGAR,24100400315 DTD - 15/9/2005,7383936565
AHMEDABAD AUTO & TRACTOR SPARES -  AHMEDABAD,"15, K.B. COMMERCIAL CENTRE,","GROUND FLOOR,","NEAR DINBAI TOWER,",Ahmedabad  380 001 ,O:25507286  R:26306884    ,AHMEDABAD, , 
AHMEDABAD AUTO -  AHMEDABAD,"8,ANKUR ESTATE,NR.BHUMI COMPLEX,","OPP.RELIEF HOTEL,","SARKHEJ SANAND ROAD,",Ahmedabad  382 210 ,"31024386, R3091 6309    ",SARKHEJ, , 9825061247
AHMEDABAD AUTOMOBILE AGENCY -  AHMEDABAD,"C-147, GROUND FLOOR,","B.G. TOWERS,","OPP. DELHI DARWAJA,",Ahmedabad  380 004 ,25625809      ,AHMEDABAD, , 
AHMEDABAD MOTOR ACCESSORIES - AHMEDABAD,"OPP.XEVIOR SCHOOL,",MIRZAPUR, ,Ahmedabad  380 001 ,       ,MIRZAPUR, , 
AIR COM ENTERPRISE - VAPI,"302, NARAYAN PARK - 2,","ALKAPURI SOCIETY,",VAPI,Vapi 396191,9227443133   ,VAPI,24241001647,9227443133
AIR COM. ENTERPRISE - VAPI,"157/D, FIRST FLOOR,","GOVINDA COMPLEX,",G.I.D.C. CHAR RASTA,Vapi   396 195,9227443133 9979956615  ,VAPI,NO TIN,9227443133
AIR COMPRESSURE ENTERPRISE - VAPI,"ROOM NO.3, P.M.PARMAR HOUSE,","KACHIGAM ROAD,","OPP. CHACHADI KIRANA STORES,",Vapi   ,9227443133   ,VAPI,,9227443133
AIR O SEAL ENTERPRISE - AHMEDABAD,"6, CHAMUNDA ESTATE,","NEAR SHREEJI CHUNO,","GOTA,",Ahmedabad  ,   ,SOLA,,9825167037 / 9376173511
AJANTA AUTOMOBILES - DHORAJI,"AVEDA CHOWK,",JETPUR ROAD,,DHORAJI 360 410,02824-221664 21664  ,DHORAJI,,9825250650
AJANTA MOTOR PARTS -  MODASA,"OPP.HARIYANA HOTEL,","GANESHPUR,", ,Modasa    383 315,"02774-245785,R- 248132    ",MODASA, , 
AJANTA MOTOR PARTS - BAYAD,"RANA COMPLEX,","OPP. G.E.B. , ","MODASA ROAD, BAYAD",BAYAD ,7778979070 9428278752  ,BAYAD,24051301107,7778979070 / 9428278752
AJANTA MOTORS -  AHMEDABAD,"C-4,SHREEJI BAPA COMPLEX,","OPP.SWAMINARAYAN TEMPLE,","NR.S.B.I. VASNA,",Ahmedabad  380 007 ,6605118      ,AHMEDABAD, , 
AJAY MACHINERY STORES - SURENDRANAGAR,,"33, NEW MARKEKT,",,Surendranagar   363 001,02752-231336   ,SURENDRANAGAR,24080100095,
AJAY MOTOR ACCESSORIES. -  SURAT,"BEHIND VASANT CINEMA,","STATION ROAD,", ,Surat   395 003 ,       ,SURAT, , 
AJAY SALES AGENCY - MIRZAPUR,"BASEMENT SNEHA COMPLEX,","OPP. TRAN KHUNIYA BAGICHA,","MIRZAPUR ROAD,",Ahmedabad 380 001,25506878 9426647878  ,MIRZAPUR,24070700698,9426647878
AJAY TRACTOR CORPORATION - MEHSANA,"OPP.UMIYA SHOPPING CENTRE,","HIGHWAY,", ,Mehsana    ,"(02762)O-54164, R-55540    ",Mehsana, , 
AJAY TRADING CORPORATION - AHMEDABAD,"SOMNATH SOCIETY,","SARKHEJ BAWLA ROAD,",SARKHEJ,Ahmedabad  382 210 ,25506690  25506908    ,SARKHEJ, , 
