category,code,name,price,quantity
VICTOR GASKET,10ST01484TR,TIMING OS TEFLON TC 6B,182.00,2.00
VICTOR GASKET,1AFC01124MLG,CHG TATA 692,0.00,1.00
VICTOR GASKET,1AFC01401MLG,CHG TATA 697TC EURO II/III AGNIPARIKSHA,578.00,1.00
VICTOR GASKET,1AFC01488HDSC,CYL.HD GASKET HINO TURBO,0.00,1.00
VICTOR GASKET,1AFF01401HDKEU,FULL SET TATA697 CMVR EUROII,0.00,1.00
VICTOR GASKET,1AFH01075MLG,H.S. LEYLAND 370,0.00,1.00
VICTOR GASKET,2AFF00153GV,FS MARUTI VAN,224.00,3.00
VICTOR GASKET,2AFF00153HDV,FULL SET M. VAN,167.00,3.00
VICTOR GASKET,2AFF01368,FULL SET W/O CHG INDICA,402.00,1.00
VICTOR GASKET,2KSC01489MLS,CHG MAHINDRA SCORPIO,0.00,1.00
VICTOR GASKET,2LOS00153RC,OIL SUMP R/CORK MARUTI,0.00,30.00
VICTOR GASKET,2LOS01294RC,OIL SUMP RUBRISE,0.00,50.00
VICTOR GASKET,2LTP00153RC,TAPPET COVER MARUTI,24.00,64.00
VICTOR GASKET,2SGC00181G,CYL.HEAD GASKET MARUTI ZEN,0.00,6.00
VICTOR GASKET,2SGC00185G,CYL.HD GASKETMARUTI ALTO,0.00,3.00
VICTOR GASKET,2SGC01380G,CYL.HD GASKEHT WAGON R,0.00,8.00
VICTOR GASKET,5AFC01483MLG3,CHG TATA ACE,0.00,1.00
VICTOR GASKET,5AFC01483SMLG3,CYL. GASKET TATA ACE 3 CUT,0.00,1.00
VICTOR GASKET,5AFC01872G,CHG BAJAJ GC10,0.00,73.00
VICTOR GASKET,5KSC01483RCS3,KING STEEL RCS CHALLANGER,425.00,2.00
VICTOR GASKET,905.275.159M,TATA ACE SUMP GASKET,0.00,50.00
VICTOR GASKET,1AFH01169HDR/TC,H.S. TATA 697,0.00,4.00
VICTOR GASKET,1AFH01401HDR,HALF SET TATA697 TC,0.00,1.00
VICTOR GASKET,1AFH01401MLGK,HALF SET 2.5mm TAPPET TATA 697TC/1613 TURBO,832.00,1.00
VICTOR GASKET,1AFT01484HDSCE,TOP SET CUMMINS,0.00,3.00
VICTOR GASKET,1LTP01169RS,AL RUBBER TAPPET,0.00,6.00
VICTOR GASKET,1LTP01484SR,TAPPET COVER SILICON 6X1,257.00,8.00
VICTOR GASKET,1OSC01484TR,COMBO OIL SEAL TEFLON TC,0.00,5.00
VICTOR GASKET,2AFC00153G,CHG MARUTI CAR,0.00,1.00
VICTOR GASKET,2AFC00153HD,CHG CAR/VAN,53.00,8.00
VICTOR GASKET,2AFC01368MLG3,CHG INDICA/INDIGO 3CUT,508.00,1.00
VICTOR GASKET,2AFC01368SMLG3,CHG TATA INDICA/INDIGO 3CUT,0.00,2.00
VICTOR GASKET,2AFC01493HDCS4,CHG TATA INDICA PETROL 4CUT,0.00,1.00
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
